matchId,playerid,total_distance_session,sprint_distance_session
5551794,299270,8428.1504,102.9992
5551794,658707,6788.1596,63.5675
5551794,433845,8199.2176,41.5182
5551794,251151,6989.9405,196.6671
5551794,94718,9069.655,322.6695
5551794,43494,10046.8099,132.6037
5551794,294861,9242.1525,69.1372
5551794,40839,10043.088,330.8815
5551794,122412,2313.0305,11.2108
5551794,658711,2738.5418,55.9847
5551794,137665,11033.9752,217.4003
5551794,406930,9898.1022,363.2652
5551794,809999,3373.0669,43.3118
5551794,8060,2962.4884,101.5728
5551794,810000,3977.7249,93.1797
5551794,730725,8277.0445,204.4883
5551794,676945,7236.3081,9.2902
5551794,1049484,2629.0697,102.8728
5551794,937672,9564.6665,124.6139
5551794,810076,8844.7669,147.6175
5551794,598595,9721.2826,391.758
5551794,561129,10217.4828,273.5722
5551794,397797,11349.4376,425.7271
5551794,287788,4011.5335,45.1903
5551794,566174,9948.1499,201.7649
5551794,603425,5730.672,42.0624
5551794,676942,10291.2963,254.3049
5551794,599059,2207.4767,18.5419
5551794,645439,2691.6529,60.8362
5551794,418995,2793.1261,5.9505
5551794,365851,8166.6635,156.7478
5551830,598052,7389.0589,160.0871
5551830,418997,7916.5801,135.0413
5551830,654668,9499.8168,61.6577
5551830,427812,8615.0081,102.9495
5551830,137672,9793.8674,267.8583
5551830,94884,9407.8332,273.4304
5551830,564825,10094.6824,237.9395
5551830,527304,9640.4571,86.6445
5551830,752148,10036.305,145.1066
5551830,95492,9839.3923,134.1665
5551830,814234,1936.7677,20.5138
5551830,1049500,1285.2968,45.1631
5551830,654814,1434.0831,41.0975
5551830,299270,7466.6799,126.4946
5551830,8060,6034.27,159.3237
5551830,561882,7435.3235,161.9761
5551830,406930,7413.0916,242.3487
5551830,251151,7689.0287,53.7328
5551830,94718,10126.5051,153.6875
5551830,433845,10806.3097,189.5707
5551830,43494,9701.8776,82.0395
5551830,294861,8527.2149,63.0713
5551830,137665,9965.7149,55.8414
5551830,658707,2187.5463,58.7593
5551830,365937,3692.7268,159.7763
